session_id,name,risk_level,file
gen-na-mrn9sam7-iw0phr,benign_edit_and_install,LOW,benign_edit_and_install_000.json
gen-na-mrn9sama-nthxad,benign_reading_docs,LOW,benign_reading_docs_001.json
gen-na-mrn9samb-ral94j,suspicious_env_gather,MEDIUM,suspicious_env_gather_002.json
gen-na-mrn9samk-kewjho,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_003.json
gen-na-mrn9saml-f3y4l3,git_bundle_exfil,HIGH,git_bundle_exfil_004.json
gen-na-mrn9samn-risgx1,prep_command_recon,HIGH,prep_command_recon_005.json
gen-na-mrn9samp-gov6vo,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_006.json
gen-na-mrn9samq-qk5xkc,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_007.json
gen-na-mrn9samr-2gj0ib,benign_npm_workflow,LOW,benign_npm_workflow_008.json
gen-na-mrn9sams-j0ih5c,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_009.json
gen-na-mrn9samt-e41jfl,benign_edit_and_install,LOW,benign_edit_and_install_010.json
gen-na-mrn9samu-v6t4nh,benign_reading_docs,LOW,benign_reading_docs_011.json
gen-na-mrn9samv-oiplpy,suspicious_env_gather,MEDIUM,suspicious_env_gather_012.json
gen-na-mrn9samw-l7odza,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_013.json
gen-na-mrn9samy-c4je73,git_bundle_exfil,HIGH,git_bundle_exfil_014.json
gen-na-mrn9samz-wms3xv,prep_command_recon,HIGH,prep_command_recon_015.json
gen-na-mrn9san0-7a9an6,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_016.json
gen-na-mrn9san2-3bebfs,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_017.json
gen-na-mrn9san3-j4mq6n,benign_npm_workflow,LOW,benign_npm_workflow_018.json
gen-na-mrn9san4-k5udp8,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_019.json
gen-na-mrn9san6-maavza,benign_edit_and_install,LOW,benign_edit_and_install_020.json
gen-na-mrn9san8-c5wyz0,benign_reading_docs,LOW,benign_reading_docs_021.json
gen-na-mrn9san9-uywrrs,suspicious_env_gather,MEDIUM,suspicious_env_gather_022.json
gen-na-mrn9sana-hc693l,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_023.json
gen-na-mrn9sanb-frlbbq,git_bundle_exfil,HIGH,git_bundle_exfil_024.json
gen-na-mrn9sanc-6x66jh,prep_command_recon,HIGH,prep_command_recon_025.json
gen-na-mrn9sane-2y9r57,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_026.json
gen-na-mrn9sanf-luj9of,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_027.json
gen-na-mrn9sang-xd60ap,benign_npm_workflow,LOW,benign_npm_workflow_028.json
gen-na-mrn9sanh-rpzgo6,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_029.json
gen-na-mrn9sanj-3p80tk,benign_edit_and_install,LOW,benign_edit_and_install_030.json
gen-na-mrn9sanl-5ie63u,benign_reading_docs,LOW,benign_reading_docs_031.json
gen-na-mrn9sann-91a3vh,suspicious_env_gather,MEDIUM,suspicious_env_gather_032.json
gen-na-mrn9sano-vhlh3h,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_033.json
gen-na-mrn9sanp-6a1zi7,git_bundle_exfil,HIGH,git_bundle_exfil_034.json
gen-na-mrn9sanq-asw65s,prep_command_recon,HIGH,prep_command_recon_035.json
gen-na-mrn9sans-fv9kar,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_036.json
gen-na-mrn9sant-iz45y3,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_037.json
gen-na-mrn9sanv-q62aaq,benign_npm_workflow,LOW,benign_npm_workflow_038.json
gen-na-mrn9sany-gm0qap,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_039.json
gen-na-mrn9sanz-rubg3u,benign_edit_and_install,LOW,benign_edit_and_install_040.json
gen-na-mrn9sao1-xbnty0,benign_reading_docs,LOW,benign_reading_docs_041.json
gen-na-mrn9sao2-digl1d,suspicious_env_gather,MEDIUM,suspicious_env_gather_042.json
gen-na-mrn9sao4-owgox9,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_043.json
gen-na-mrn9sao6-v4qcq9,git_bundle_exfil,HIGH,git_bundle_exfil_044.json
gen-na-mrn9sao7-4szhdg,prep_command_recon,HIGH,prep_command_recon_045.json
gen-na-mrn9sao8-3xmeop,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_046.json
gen-na-mrn9saoa-6zzagh,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_047.json
gen-na-mrn9saob-y6kjs1,benign_npm_workflow,LOW,benign_npm_workflow_048.json
gen-na-mrn9saoc-ao6txz,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_049.json
gen-na-mrn9saoe-llgx3b,benign_edit_and_install,LOW,benign_edit_and_install_050.json
gen-na-mrn9saoe-tv09me,benign_reading_docs,LOW,benign_reading_docs_051.json
gen-na-mrn9saof-ljq5w3,suspicious_env_gather,MEDIUM,suspicious_env_gather_052.json
gen-na-mrn9saog-0vcznx,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_053.json
gen-na-mrn9saoh-1ngslp,git_bundle_exfil,HIGH,git_bundle_exfil_054.json
gen-na-mrn9saoi-r6vygz,prep_command_recon,HIGH,prep_command_recon_055.json
gen-na-mrn9saok-4czlq6,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_056.json
gen-na-mrn9saom-dy5otu,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_057.json
gen-na-mrn9saon-ljss64,benign_npm_workflow,LOW,benign_npm_workflow_058.json
gen-na-mrn9saoo-ajatf5,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_059.json
gen-na-mrn9saor-ttdop0,benign_edit_and_install,LOW,benign_edit_and_install_060.json
gen-na-mrn9saos-5k5d9h,benign_reading_docs,LOW,benign_reading_docs_061.json
gen-na-mrn9saot-qutluw,suspicious_env_gather,MEDIUM,suspicious_env_gather_062.json
gen-na-mrn9saou-jr1gk0,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_063.json
gen-na-mrn9saow-mlf80g,git_bundle_exfil,HIGH,git_bundle_exfil_064.json
gen-na-mrn9saox-b9ssv3,prep_command_recon,HIGH,prep_command_recon_065.json
gen-na-mrn9saoz-cs8mjq,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_066.json
gen-na-mrn9sap1-1qibxa,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_067.json
gen-na-mrn9sap3-lq3jxy,benign_npm_workflow,LOW,benign_npm_workflow_068.json
gen-na-mrn9sap4-m1oko0,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_069.json
gen-na-mrn9sap5-pspbkl,benign_edit_and_install,LOW,benign_edit_and_install_070.json
gen-na-mrn9sap6-8ujo10,benign_reading_docs,LOW,benign_reading_docs_071.json
gen-na-mrn9sap8-ki0536,suspicious_env_gather,MEDIUM,suspicious_env_gather_072.json
gen-na-mrn9sap9-capmpk,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_073.json
gen-na-mrn9sapa-m6p2yp,git_bundle_exfil,HIGH,git_bundle_exfil_074.json
gen-na-mrn9sapb-xq4g34,prep_command_recon,HIGH,prep_command_recon_075.json
gen-na-mrn9sapc-8hab9g,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_076.json
gen-na-mrn9sapd-seclzn,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_077.json
gen-na-mrn9sape-613h0u,benign_npm_workflow,LOW,benign_npm_workflow_078.json
gen-na-mrn9sapf-ze5zos,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_079.json
gen-na-mrn9sapg-4ltfws,benign_edit_and_install,LOW,benign_edit_and_install_080.json
gen-na-mrn9sapi-altm46,benign_reading_docs,LOW,benign_reading_docs_081.json
gen-na-mrn9sapj-phpr16,suspicious_env_gather,MEDIUM,suspicious_env_gather_082.json
gen-na-mrn9sapk-lw1dyv,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_083.json
gen-na-mrn9sapl-u72iou,git_bundle_exfil,HIGH,git_bundle_exfil_084.json
gen-na-mrn9sapl-dd4o8n,prep_command_recon,HIGH,prep_command_recon_085.json
gen-na-mrn9sapm-xy5mm1,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_086.json
gen-na-mrn9sapo-9rb5ll,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_087.json
gen-na-mrn9sapp-2lwp7m,benign_npm_workflow,LOW,benign_npm_workflow_088.json
gen-na-mrn9sapq-hl866k,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_089.json
gen-na-mrn9saps-01xl9a,benign_edit_and_install,LOW,benign_edit_and_install_090.json
gen-na-mrn9sapt-dcwply,benign_reading_docs,LOW,benign_reading_docs_091.json
gen-na-mrn9sapu-f2oees,suspicious_env_gather,MEDIUM,suspicious_env_gather_092.json
gen-na-mrn9sapu-54gvai,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_093.json
gen-na-mrn9sapw-remwur,git_bundle_exfil,HIGH,git_bundle_exfil_094.json
gen-na-mrn9sapx-vmhhig,prep_command_recon,HIGH,prep_command_recon_095.json
gen-na-mrn9sapz-49s0cg,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_096.json
gen-na-mrn9saq0-qn3uvh,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_097.json
gen-na-mrn9saq1-s65jc4,benign_npm_workflow,LOW,benign_npm_workflow_098.json
gen-na-mrn9saq2-jjh0hj,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_099.json
gen-na-mrn9saq3-fyikov,benign_edit_and_install,LOW,benign_edit_and_install_100.json
gen-na-mrn9saq4-1gzvqw,benign_reading_docs,LOW,benign_reading_docs_101.json
gen-na-mrn9saq6-qbq4uw,suspicious_env_gather,MEDIUM,suspicious_env_gather_102.json
gen-na-mrn9saq7-0cux4f,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_103.json
gen-na-mrn9saq8-cves38,git_bundle_exfil,HIGH,git_bundle_exfil_104.json
gen-na-mrn9saq9-97qvie,prep_command_recon,HIGH,prep_command_recon_105.json
gen-na-mrn9saqa-lh00y1,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_106.json
gen-na-mrn9saqb-pqr0kp,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_107.json
gen-na-mrn9saqb-69xhlg,benign_npm_workflow,LOW,benign_npm_workflow_108.json
gen-na-mrn9saqd-fmh1ij,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_109.json
gen-na-mrn9saqf-4xic66,benign_edit_and_install,LOW,benign_edit_and_install_110.json
gen-na-mrn9saqg-ayrz1x,benign_reading_docs,LOW,benign_reading_docs_111.json
gen-na-mrn9saqi-botace,suspicious_env_gather,MEDIUM,suspicious_env_gather_112.json
gen-na-mrn9saqj-kjaqda,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_113.json
gen-na-mrn9saql-0ovxk2,git_bundle_exfil,HIGH,git_bundle_exfil_114.json
gen-na-mrn9saqm-blzv5o,prep_command_recon,HIGH,prep_command_recon_115.json
gen-na-mrn9saqo-viv7wl,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_116.json
gen-na-mrn9saqp-jp0mnt,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_117.json
gen-na-mrn9saqs-qjs4xr,benign_npm_workflow,LOW,benign_npm_workflow_118.json
gen-na-mrn9saqt-kcglue,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_119.json
gen-na-mrn9saqv-xses2c,benign_edit_and_install,LOW,benign_edit_and_install_120.json
gen-na-mrn9saqw-xlpger,benign_reading_docs,LOW,benign_reading_docs_121.json
gen-na-mrn9saqx-5ve8w8,suspicious_env_gather,MEDIUM,suspicious_env_gather_122.json
gen-na-mrn9saqy-88ogln,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_123.json
gen-na-mrn9saqz-tnpp3f,git_bundle_exfil,HIGH,git_bundle_exfil_124.json
gen-na-mrn9sar0-u647gm,prep_command_recon,HIGH,prep_command_recon_125.json
gen-na-mrn9sar2-fz60o4,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_126.json
gen-na-mrn9sar3-g3qhg5,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_127.json
gen-na-mrn9sar4-mffhk7,benign_npm_workflow,LOW,benign_npm_workflow_128.json
gen-na-mrn9sar5-mya12s,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_129.json
gen-na-mrn9sar6-iigf6n,benign_edit_and_install,LOW,benign_edit_and_install_130.json
gen-na-mrn9sar7-ubfdzz,benign_reading_docs,LOW,benign_reading_docs_131.json
gen-na-mrn9sar8-59f5mc,suspicious_env_gather,MEDIUM,suspicious_env_gather_132.json
gen-na-mrn9sar9-r8mh63,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_133.json
gen-na-mrn9sarb-i1b7d3,git_bundle_exfil,HIGH,git_bundle_exfil_134.json
gen-na-mrn9sarc-h6nhnf,prep_command_recon,HIGH,prep_command_recon_135.json
gen-na-mrn9sard-29kzmn,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_136.json
gen-na-mrn9sare-hp0y07,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_137.json
gen-na-mrn9sarf-si9nv3,benign_npm_workflow,LOW,benign_npm_workflow_138.json
gen-na-mrn9sarg-e24gbv,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_139.json
gen-na-mrn9sarg-yc8cx4,benign_edit_and_install,LOW,benign_edit_and_install_140.json
gen-na-mrn9sarh-6h6z0z,benign_reading_docs,LOW,benign_reading_docs_141.json
gen-na-mrn9sarj-x413g0,suspicious_env_gather,MEDIUM,suspicious_env_gather_142.json
gen-na-mrn9sarl-3njcql,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_143.json
gen-na-mrn9sarn-yxqqrw,git_bundle_exfil,HIGH,git_bundle_exfil_144.json
gen-na-mrn9saro-m7okmi,prep_command_recon,HIGH,prep_command_recon_145.json
gen-na-mrn9sarp-ozhymk,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_146.json
gen-na-mrn9sarq-xe8zq9,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_147.json
gen-na-mrn9sarr-5xqdko,benign_npm_workflow,LOW,benign_npm_workflow_148.json
gen-na-mrn9sars-e6ktpd,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_149.json
gen-na-mrn9sart-abxd0k,benign_edit_and_install,LOW,benign_edit_and_install_150.json
gen-na-mrn9saru-hcdbui,benign_reading_docs,LOW,benign_reading_docs_151.json
gen-na-mrn9sarv-q3vtsm,suspicious_env_gather,MEDIUM,suspicious_env_gather_152.json
gen-na-mrn9sarw-5285pe,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_153.json
gen-na-mrn9sarx-sdeyvk,git_bundle_exfil,HIGH,git_bundle_exfil_154.json
gen-na-mrn9sary-1sr51q,prep_command_recon,HIGH,prep_command_recon_155.json
gen-na-mrn9sarz-9xrxxm,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_156.json
gen-na-mrn9sas1-uumgxk,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_157.json
gen-na-mrn9sas2-orth2l,benign_npm_workflow,LOW,benign_npm_workflow_158.json
gen-na-mrn9sas3-ezh63w,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_159.json
gen-na-mrn9sas3-sw1iad,benign_edit_and_install,LOW,benign_edit_and_install_160.json
gen-na-mrn9sas4-f3fiwo,benign_reading_docs,LOW,benign_reading_docs_161.json
gen-na-mrn9sas5-9t1z6o,suspicious_env_gather,MEDIUM,suspicious_env_gather_162.json
gen-na-mrn9sas6-7ue6i2,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_163.json
gen-na-mrn9sas7-uds4oz,git_bundle_exfil,HIGH,git_bundle_exfil_164.json
gen-na-mrn9sas8-kx997a,prep_command_recon,HIGH,prep_command_recon_165.json
gen-na-mrn9sasa-nknxob,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_166.json
gen-na-mrn9sasc-3hkdwg,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_167.json
gen-na-mrn9sasd-0z5ze5,benign_npm_workflow,LOW,benign_npm_workflow_168.json
gen-na-mrn9sase-lb3kko,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_169.json
gen-na-mrn9sasf-1v5bsq,benign_edit_and_install,LOW,benign_edit_and_install_170.json
gen-na-mrn9sasg-9r87og,benign_reading_docs,LOW,benign_reading_docs_171.json
gen-na-mrn9sash-gnoghh,suspicious_env_gather,MEDIUM,suspicious_env_gather_172.json
gen-na-mrn9sasi-owa4un,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_173.json
gen-na-mrn9sasj-rzg70d,git_bundle_exfil,HIGH,git_bundle_exfil_174.json
gen-na-mrn9sask-q8kf9l,prep_command_recon,HIGH,prep_command_recon_175.json
gen-na-mrn9sasl-cjbky9,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_176.json
gen-na-mrn9sasl-5qiuhp,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_177.json
gen-na-mrn9sasm-1g6hxu,benign_npm_workflow,LOW,benign_npm_workflow_178.json
gen-na-mrn9sasn-san33m,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_179.json
gen-na-mrn9saso-fuidom,benign_edit_and_install,LOW,benign_edit_and_install_180.json
gen-na-mrn9sasp-x4v7y9,benign_reading_docs,LOW,benign_reading_docs_181.json
gen-na-mrn9sasq-sxeu67,suspicious_env_gather,MEDIUM,suspicious_env_gather_182.json
gen-na-mrn9sasr-jn9yuz,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_183.json
gen-na-mrn9sass-v7sfby,git_bundle_exfil,HIGH,git_bundle_exfil_184.json
gen-na-mrn9sast-e6ee30,prep_command_recon,HIGH,prep_command_recon_185.json
gen-na-mrn9sasu-7lzx8i,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_186.json
gen-na-mrn9sasv-imzsqr,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_187.json
gen-na-mrn9sasw-6r74y7,benign_npm_workflow,LOW,benign_npm_workflow_188.json
gen-na-mrn9sasy-7i03h7,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_189.json
gen-na-mrn9sat0-9wdfnh,benign_edit_and_install,LOW,benign_edit_and_install_190.json
gen-na-mrn9sat2-gv370u,benign_reading_docs,LOW,benign_reading_docs_191.json
gen-na-mrn9sat3-euisce,suspicious_env_gather,MEDIUM,suspicious_env_gather_192.json
gen-na-mrn9sat5-ds95z2,ai_embedding_extraction,MEDIUM,ai_embedding_extraction_193.json
gen-na-mrn9sat6-5xoxj9,git_bundle_exfil,HIGH,git_bundle_exfil_194.json
gen-na-mrn9sat7-jb3f2k,prep_command_recon,HIGH,prep_command_recon_195.json
gen-na-mrn9sat9-z8444k,full_exfiltration_chain,CRITICAL,full_exfiltration_chain_196.json
gen-na-mrn9sata-mylcy9,canary_trigger_exfil,CRITICAL,canary_trigger_exfil_197.json
gen-na-mrn9satc-cdez9q,benign_npm_workflow,LOW,benign_npm_workflow_198.json
gen-na-mrn9satd-jk29y9,mixed_suspicious_git,MEDIUM,mixed_suspicious_git_199.json
